title,media_type,collection,wikipedia_link
Section.80,Music,Kendrick Lamar,https://en.wikipedia.org/wiki/Section.80
"Good Kid, M.A.A.D City",Music,Kendrick Lamar,"https://en.wikipedia.org/wiki/Good_Kid,_M.A.A.D_City"
To Pimp a Butterfly,Music,Kendrick Lamar,https://en.wikipedia.org/wiki/To_Pimp_a_Butterfly
Damn,Music,Kendrick Lamar,https://en.wikipedia.org/wiki/Damn_(Kendrick_Lamar_album)
Mr. Morale & the Big Steppers,Music,Kendrick Lamar,https://en.wikipedia.org/wiki/Mr._Morale_%26_the_Big_Steppers
The Hillbillies,Music,"Baby Keem, Kendrick Lamar",https://en.wikipedia.org/wiki/The_Hillbillies
Ignorance Is Bliss,Music,Skepta,https://en.wikipedia.org/wiki/Ignorance_Is_Bliss_(Skepta_album)
Konnichiwa,Music,Skepta,https://en.wikipedia.org/wiki/Konnichiwa_(Skepta_album)
All In,Music,Skepta,https://en.wikipedia.org/wiki/Skepta_discography#EPs
Insomnia,Music,"Skepta, Chip, Young Adz","https://en.wikipedia.org/wiki/Insomnia_(Skepta,_Chip_and_Young_Adz_album)"
Grime MC,Music,Jme,https://en.wikipedia.org/wiki/Jme#Studio_albums
Integrity>,Music,Jme,https://en.wikipedia.org/wiki/Integrity_(album)
Scaring the Hoes,Music,"JPEGMafia, Danny Brown",https://en.wikipedia.org/wiki/Scaring_the_Hoes
Lord Willin',Music,"Clipse, Pusha T, No Malice",https://en.wikipedia.org/wiki/Lord_Willin%27
My Name Is My Name,Music,Pusha T,https://en.wikipedia.org/wiki/My_Name_Is_My_Name
King Push - Darkest Before Dawn: The Prelude,Music,Pusha T,https://en.wikipedia.org/wiki/King_Push_%E2%80%93_Darkest_Before_Dawn:_The_Prelude
Daytona,Music,Pusha T,https://en.wikipedia.org/wiki/Daytona_(album)
It's Almost Dry,Music,Pusha T,https://en.wikipedia.org/wiki/It%27s_Almost_Dry
Heaven or Hell,Music,Don Toliver,https://en.wikipedia.org/wiki/Heaven_or_Hell_(album)
Life of a Don,Music,Don Toliver,https://en.wikipedia.org/wiki/Life_of_a_Don
Love Sick,Music,Don Toliver,https://en.wikipedia.org/wiki/Love_Sick_(album)
Without Warning,Music,"21 Savage, Offset, Metro Boomin",https://en.wikipedia.org/wiki/Without_Warning_(album)
Savage Mode,Music,"21 Savage, Metro Boomin",https://en.wikipedia.org/wiki/Savage_Mode
Savage Mode II,Music,"21 Savage, Metro Boomin",https://en.wikipedia.org/wiki/Savage_Mode_II
Her Loss,Music,"Drake, 21 Savage",https://en.wikipedia.org/wiki/Her_Loss
Heroes & Villains,Music,Metro Boomin,https://en.wikipedia.org/wiki/Heroes_%26_Villains
Not All Heroes Wear Capes,Music,Metro Boomin,https://en.wikipedia.org/wiki/Not_All_Heroes_Wear_Capes
Culture,Music,Migos,https://en.wikipedia.org/wiki/Culture_(album)
Kiwanuka,Music,Michael Kiwanuka,https://en.wikipedia.org/wiki/Kiwanuka_(album)
SuperM,Music,SuperM,https://en.wikipedia.org/wiki/SuperM_(EP)
Super One,Music,SuperM,https://en.wikipedia.org/wiki/Super_One_(album)
Obsession,Music,EXO,https://en.wikipedia.org/wiki/Obsession_(Exo_album)
Don't Mess Up My Tempo,Music,EXO,https://en.wikipedia.org/wiki/Don%27t_Mess_Up_My_Tempo
The War,Music,EXO,https://en.wikipedia.org/wiki/The_War_(album)
Ex'Act,Music,EXO,https://en.wikipedia.org/wiki/Ex%27Act
Exodus,Music,EXO,https://en.wikipedia.org/wiki/Exodus_(Exo_album)
Feel Special,Music,TWICE,https://en.wikipedia.org/wiki/Feel_Special
Fancy You,Music,TWICE,https://en.wikipedia.org/wiki/Fancy_You_(EP)
It'z Different,Music,ITZY,https://en.wikipedia.org/wiki/It%27z_Different
It'z Icy,Music,ITZY,https://en.wikipedia.org/wiki/It%27z_Icy
Not Shy,Music,ITZY,https://en.wikipedia.org/wiki/Not_Shy
Map of the Soul: Persona,Music,BTS,https://en.wikipedia.org/wiki/Map_of_the_Soul:_Persona
Map of the Soul: 7,Music,BTS,https://en.wikipedia.org/wiki/Map_of_the_Soul:_7
Proof,Music,BTS,https://en.wikipedia.org/wiki/Proof_(album)
Testing,Music,A$AP Rocky,https://en.wikipedia.org/wiki/Testing_(album)
Live. Love. ASAP,Music,A$AP Rocky,https://en.wikipedia.org/wiki/Live._Love._ASAP
DS2,Music,Future,https://en.wikipedia.org/wiki/DS2_(album)
The Land Is Inhospitable and So Are We,Music,Mitski,https://en.wikipedia.org/wiki/The_Land_Is_Inhospitable_and_So_Are_We
The Last of Us,Game,The Last of Us,https://en.wikipedia.org/wiki/The_Last_of_Us
The Last of Us Part II,Game,The Last of Us,https://en.wikipedia.org/wiki/The_Last_of_Us_Part_II
Baldur's Gate 3,Game,,https://en.wikipedia.org/wiki/Baldur%27s_Gate_3
Payday 2,Game,,https://en.wikipedia.org/wiki/Payday_2
God of War,Game,God of War,https://en.wikipedia.org/wiki/God_of_War_(2005_video_game)
God of War: Chains of Olympus,Game,God of War,https://en.wikipedia.org/wiki/God_of_War:_Chains_of_Olympus
God of War II,Game,God of War,https://en.wikipedia.org/wiki/God_of_War_II
God of War: Ghost of Sparta,Game,God of War,https://en.wikipedia.org/wiki/God_of_War:_Ghost_of_Sparta
God of War III,Game,God of War,https://en.wikipedia.org/wiki/God_of_War_III
God of War: Ascension,Game,God of War,https://en.wikipedia.org/wiki/God_of_War:_Ascension
God of War,Game,God of War,https://en.wikipedia.org/wiki/God_of_War_(2018_video_game)
God of War Ragnarök,Game,God of War,https://en.wikipedia.org/wiki/God_of_War_Ragnar%C3%B6k
Doom,Game,Doom,https://en.wikipedia.org/wiki/Doom_(1993_video_game)
Doom II,Game,Doom,https://en.wikipedia.org/wiki/Doom_II
Doom 3: BFG Edition,Game,Doom,https://en.wikipedia.org/wiki/Doom_3:_BFG_Edition
Doom,Game,Doom,https://en.wikipedia.org/wiki/Doom_(2016_video_game)
Doom Eternal,Game,Doom,https://en.wikipedia.org/wiki/Doom_Eternal
Tomb Raider,Game,Tomb Raider,https://en.wikipedia.org/wiki/Tomb_Raider_(2013_video_game)
Rise of the Tomb Raider,Game,Tomb Raider,https://en.wikipedia.org/wiki/Rise_of_the_Tomb_Raider
Shadow of the Tomb Raider,Game,Tomb Raider,https://en.wikipedia.org/wiki/Shadow_of_the_Tomb_Raider
Undertale,Game,,https://en.wikipedia.org/wiki/Undertale
Mother,Game,Mother,https://en.wikipedia.org/wiki/Mother_(video_game)
EarthBound,Game,Mother,https://en.wikipedia.org/wiki/Mother_2
Mother 3,Game,Mother,https://en.wikipedia.org/wiki/Mother_3
The Forest,Game,The Forest,https://en.wikipedia.org/wiki/The_Forest_(video_game)
Sons of the Forest,Game,The Forest,https://en.wikipedia.org/wiki/Sons_of_the_Forest
Portal,Game,Half-Life,https://en.wikipedia.org/wiki/Portal_(video_game)
Portal 2,Game,Half-Life,https://en.wikipedia.org/wiki/Portal_2
Half-Life,Game,Half-Life,https://en.wikipedia.org/wiki/Half-Life_(video_game)
Half-Life 2,Game,Half-Life,https://en.wikipedia.org/wiki/Half-Life_2
Half-Life 2: Episode One,Game,Half-Life,https://en.wikipedia.org/wiki/Half-Life_2:_Episode_One
Half-Life 2: Episode Two,Game,Half-Life,https://en.wikipedia.org/wiki/Half-Life_2:_Episode_Two
Outer Wilds,Game,,https://en.wikipedia.org/wiki/Outer_Wilds
Spec Ops: The Line,Game,,https://en.wikipedia.org/wiki/Spec_Ops:_The_Line
Kingdom Come: Deliverance,Game,,https://en.wikipedia.org/wiki/Kingdom_Come:_Deliverance
Metro 2033,Game,Metro,https://en.wikipedia.org/wiki/Metro_2033_(video_game)
Metro: Last Light,Game,Metro,https://en.wikipedia.org/wiki/Metro:_Last_Light
Metro Exodus,Game,Metro,https://en.wikipedia.org/wiki/Metro_Exodus
Mafia: Definitive Edition,Game,,https://en.wikipedia.org/wiki/Mafia:_Definitive_Edition
The Elder Scrolls IV: Oblivion,Game,The Elder Scrolls,https://en.wikipedia.org/wiki/The_Elder_Scrolls_IV:_Oblivion
The Elder Scrolls V: Skyrim,Game,The Elder Scrolls,https://en.wikipedia.org/wiki/The_Elder_Scrolls_V:_Skyrim
Nier: Automata,Game,,https://en.wikipedia.org/wiki/Nier:_Automata
Mass Effect,Game,Mass Effect,https://en.wikipedia.org/wiki/Mass_Effect_(video_game)
Mass Effect 2,Game,Mass Effect,https://en.wikipedia.org/wiki/Mass_Effect_2
Mass Effect 3,Game,Mass Effect,https://en.wikipedia.org/wiki/Mass_Effect_3
Dragon Ball FighterZ,Game,Akira Toriyama,https://en.wikipedia.org/wiki/Dragon_Ball_FighterZ
Mortal Kombat,Game,,https://en.wikipedia.org/wiki/Mortal_Kombat_(2011_video_game)
Street Fighter III: 3rd Strike,Game,,https://en.wikipedia.org/wiki/Street_Fighter_III:_3rd_Strike
WWE SmackDown! Here Comes the Pain,Game,WWE,https://en.wikipedia.org/wiki/WWE_SmackDown!_Here_Comes_the_Pain
WWE SmackDown! vs. Raw 2006,Game,WWE,https://en.wikipedia.org/wiki/WWE_SmackDown!_vs._Raw_2006
WWE '13,Game,WWE,https://en.wikipedia.org/wiki/WWE_%2713
WWE 2K14,Game,WWE,https://en.wikipedia.org/wiki/WWE_2K14
WWE 2K19,Game,WWE,https://en.wikipedia.org/wiki/WWE_2K19
Dead Space,Game,Dead Space,https://en.wikipedia.org/wiki/Dead_Space_(2023_video_game)
Dead Space 2,Game,Dead Space,https://en.wikipedia.org/wiki/Dead_Space_2
Limbo,Game,,https://en.wikipedia.org/wiki/Limbo_(video_game)
Monument Valley,Game,Monument Valley,https://en.wikipedia.org/wiki/Monument_Valley_(video_game)
Monument Valley 2,Game,Monument Valley,https://en.wikipedia.org/wiki/Monument_Valley_2
Uncharted: Drake's Fortune,Game,Uncharted,https://en.wikipedia.org/wiki/Uncharted:_Drake%27s_Fortune
Uncharted 2: Among Thieves,Game,Uncharted,https://en.wikipedia.org/wiki/Uncharted_2:_Among_Thieves
Uncharted 3: Drake's Deception,Game,Uncharted,https://en.wikipedia.org/wiki/Uncharted_3:_Drake%27s_Deception
Uncharted 4: A Thief's End,Game,Uncharted,https://en.wikipedia.org/wiki/Uncharted_4:_A_Thief%27s_End
Marvel's Spider-Man,Game,Marvel,https://en.wikipedia.org/wiki/Spider-Man:_Remastered
Marvel's Spider-Man: Miles Morales,Game,Marvel,https://en.wikipedia.org/wiki/Spider-Man:_Miles_Morales
Marvel's Spider-Man 2,Game,Marvel,https://en.wikipedia.org/wiki/Spider-Man_2_(2023_video_game)
Dishonored,Game,Dishonored,https://en.wikipedia.org/wiki/Dishonored
Dishonored 2,Game,Dishonored,https://en.wikipedia.org/wiki/Dishonored_2
Dishonored: Death of the Outsider,Game,Dishonored,https://en.wikipedia.org/wiki/Dishonored:_Death_of_the_Outsider
BioShock,Game,BioShock,https://en.wikipedia.org/wiki/BioShock
BioShock 2,Game,BioShock,https://en.wikipedia.org/wiki/BioShock_2
BioShock Infinite,Game,BioShock,https://en.wikipedia.org/wiki/BioShock_Infinite
Resident Evil 2,Game,Resident Evil,https://en.wikipedia.org/wiki/Resident_Evil_2_(2019_video_game)
Resident Evil 4,Game,Resident Evil,https://en.wikipedia.org/wiki/Resident_Evil_4_(2023_video_game)
Resident Evil 7: Biohazard,Game,Resident Evil,https://en.wikipedia.org/wiki/Resident_Evil_7:_Biohazard
Resident Evil Village,Game,Resident Evil,https://en.wikipedia.org/wiki/Resident_Evil_Village
Elden Ring,Game,FromSoftware,https://en.wikipedia.org/wiki/Elden_Ring
Ghost of Tsushima,Game,,https://en.wikipedia.org/wiki/Ghost_of_Tsushima
Yakuza 0,Game,Yakuza,https://en.wikipedia.org/wiki/Yakuza_0
Yakuza Kiwami,Game,Yakuza,https://en.wikipedia.org/wiki/Yakuza_Kiwami
Yakuza Kiwami 2,Game,Yakuza,https://en.wikipedia.org/wiki/Yakuza_Kiwami_2
Yakuza 3,Game,Yakuza,https://en.wikipedia.org/wiki/Yakuza_3
Yakuza 4,Game,Yakuza,https://en.wikipedia.org/wiki/Yakuza_4
Yakuza 5,Game,Yakuza,https://en.wikipedia.org/wiki/Yakuza_5
Yakuza 6: The Song of Life,Game,Yakuza,https://en.wikipedia.org/wiki/Yakuza_6:_The_Song_of_Life
Judgment,Game,Yakuza,https://en.wikipedia.org/wiki/Judgment_(video_game)
Yakuza: Like a Dragon,Game,Yakuza,https://en.wikipedia.org/wiki/Yakuza:_Like_a_Dragon
Like a Dragon Gaiden: The Man Who Erased His Name,Game,Yakuza,https://en.wikipedia.org/wiki/Like_a_Dragon_Gaiden:_The_Man_Who_Erased_His_Name
Lost Judgment,Game,Yakuza,https://en.wikipedia.org/wiki/Lost_Judgment
Like a Dragon: Infinite Wealth,Game,Yakuza,https://en.wikipedia.org/wiki/Like_a_Dragon:_Infinite_Wealth
It Takes Two,Game,,https://en.wikipedia.org/wiki/It_Takes_Two_(video_game)
Max Payne,Game,Max Payne,https://en.wikipedia.org/wiki/Max_Payne_(video_game)
Max Payne 2: The Fall of Max Payne,Game,Max Payne,https://en.wikipedia.org/wiki/Max_Payne_2:_The_Fall_of_Max_Payne
Max Payne 3,Game,Max Payne,https://en.wikipedia.org/wiki/Max_Payne_3
Final Fantasy,Game,Final Fantasy,https://en.wikipedia.org/wiki/Final_Fantasy_(video_game)
Final Fantasy II,Game,Final Fantasy,https://en.wikipedia.org/wiki/Final_Fantasy_II
Final Fantasy III,Game,Final Fantasy,https://en.wikipedia.org/wiki/Final_Fantasy_III
Final Fantasy IV,Game,Final Fantasy,https://en.wikipedia.org/wiki/Final_Fantasy_IV
Final Fantasy V,Game,Final Fantasy,https://en.wikipedia.org/wiki/Final_Fantasy_V
Final Fantasy VI,Game,Final Fantasy,https://en.wikipedia.org/wiki/Final_Fantasy_VI
Final Fantasy VII Remake,Game,Final Fantasy,https://en.wikipedia.org/wiki/Final_Fantasy_VII_Remake
Life Is Strange,Game,Life Is Strange,https://en.wikipedia.org/wiki/Life_Is_Strange_(video_game)
Life Is Strange: Before the Storm,Game,Life Is Strange,https://en.wikipedia.org/wiki/Life_Is_Strange:_Before_the_Storm
Life Is Strange 2,Game,Life Is Strange,https://en.wikipedia.org/wiki/Life_Is_Strange_2
Batman: The Telltale Series,Game,Batman,https://en.wikipedia.org/wiki/Batman:_The_Telltale_Series
Batman: The Enemy Within,Game,Batman,https://en.wikipedia.org/wiki/Batman:_The_Enemy_Within
Hitman,Game,Hitman,https://en.wikipedia.org/wiki/Hitman_(2016_video_game)
Hitman 2,Game,Hitman,https://en.wikipedia.org/wiki/Hitman_2_(2018_video_game)
Hitman 3,Game,Hitman,https://en.wikipedia.org/wiki/Hitman_3
Angry Birds,Game,,https://en.wikipedia.org/wiki/Angry_Birds_(video_game)
Hill Climb Racing,Game,,https://en.wikipedia.org/wiki/Hill_Climb_Racing
Fruit Ninja,Game,,https://en.wikipedia.org/wiki/Fruit_Ninja
Jetpack Joyride,Game,,https://en.wikipedia.org/wiki/Jetpack_Joyride
Subway Surfers,Game,,https://en.wikipedia.org/wiki/Subway_Surfers
Candy Crush Saga,Game,,https://en.wikipedia.org/wiki/Candy_Crush_Saga
Doodle Jump,Game,,https://en.wikipedia.org/wiki/Doodle_Jump
Fallout 2,Game,Fallout,https://en.wikipedia.org/wiki/Fallout_2
Fallout 3,Game,Fallout,https://en.wikipedia.org/wiki/Fallout_3
Fallout: New Vegas,Game,Fallout,https://en.wikipedia.org/wiki/Fallout:_New_Vegas
Fallout 4,Game,Fallout,https://en.wikipedia.org/wiki/Fallout_4
Fallout 76,Game,Fallout,https://en.wikipedia.org/wiki/Fallout_76
Worms W.M.D,Game,,https://en.wikipedia.org/wiki/Worms_W.M.D
Kirby Super Star Ultra,Game,,https://en.wikipedia.org/wiki/Kirby_Super_Star_Ultra
Phoenix Wright: Ace Attorney,Game,Ace Attorney,https://en.wikipedia.org/wiki/Phoenix_Wright:_Ace_Attorney
Phoenix Wright: Ace Attorney - Justice for All,Game,Ace Attorney,https://en.wikipedia.org/wiki/Phoenix_Wright:_Ace_Attorney_%E2%80%93_Justice_for_All
Phoenix Wright: Ace Attorney - Trials and Tribulations,Game,Ace Attorney,https://en.wikipedia.org/wiki/Phoenix_Wright:_Ace_Attorney_%E2%80%93_Trials_and_Tribulations
Apollo Justice: Ace Attorney,Game,Ace Attorney,https://en.wikipedia.org/wiki/Apollo_Justice:_Ace_Attorney
Phoenix Wright: Ace Attorney - Dual Destinies,Game,Ace Attorney,https://en.wikipedia.org/wiki/Phoenix_Wright:_Ace_Attorney_%E2%80%93_Dual_Destinies
Phoenix Wright: Ace Attorney - Spirit of Justice,Game,Ace Attorney,https://en.wikipedia.org/wiki/Phoenix_Wright:_Ace_Attorney_%E2%80%93_Spirit_of_Justice
Pikmin,Game,Pikmin,https://en.wikipedia.org/wiki/Pikmin_(video_game)
Pikmin 2,Game,Pikmin,https://en.wikipedia.org/wiki/Pikmin_2
Pikmin 3,Game,Pikmin,https://en.wikipedia.org/wiki/Pikmin_3
Pikmin 4,Game,Pikmin,https://en.wikipedia.org/wiki/Pikmin_4
MySims,Game,The Sims,https://en.wikipedia.org/wiki/MySims
MySims Agents,Game,The Sims,https://en.wikipedia.org/wiki/MySims_Agents
MySims Kingdom,Game,The Sims,https://en.wikipedia.org/wiki/MySims_Kingdom
Animal Crossing: New Leaf,Game,Animal Crossing,https://en.wikipedia.org/wiki/Animal_Crossing:_New_Leaf
Animal Crossing: New Horizons,Game,Animal Crossing,https://en.wikipedia.org/wiki/Animal_Crossing:_New_Horizons
Pokémon FireRed Pokémon LeafGreen,Game,Pokémon,https://en.wikipedia.org/wiki/Pok%C3%A9mon_FireRed_and_LeafGreen
Pokémon Emerald,Game,Pokémon,https://en.wikipedia.org/wiki/Pok%C3%A9mon_Emerald
Pokémon Platinum,Game,Pokémon,https://en.wikipedia.org/wiki/Pok%C3%A9mon_Platinum
Pokémon HeartGold Pokémon SoulSilver,Game,Pokémon,https://en.wikipedia.org/wiki/Pok%C3%A9mon_HeartGold_and_SoulSilver
Pokémon Black Pokémon White,Game,Pokémon,https://en.wikipedia.org/wiki/Pok%C3%A9mon_Black_and_White
Pokémon Black 2 Pokémon White 2,Game,Pokémon,https://en.wikipedia.org/wiki/Pok%C3%A9mon_Black_2_and_White_2
Pokémon Mystery Dungeon: Blue Rescue Team,Game,Pokémon,https://en.wikipedia.org/wiki/Pok%C3%A9mon_Mystery_Dungeon:_Blue_Rescue_Team_and_Red_Rescue_Team
Pokémon Mystery Dungeon: Explorers of Sky,Game,Pokémon,https://en.wikipedia.org/wiki/Pok%C3%A9mon_Mystery_Dungeon:_Explorers_of_Sky
Pokémon Mystery Dungeon: Rescue Team DX,Game,Pokémon,https://en.wikipedia.org/wiki/Pok%C3%A9mon_Mystery_Dungeon:_Rescue_Team_DX
Pokémon Ranger,Game,Pokémon,https://en.wikipedia.org/wiki/Pok%C3%A9mon_Ranger
Pokémon Ranger: Shadows of Almia,Game,Pokémon,https://en.wikipedia.org/wiki/Pok%C3%A9mon_Ranger:_Shadows_of_Almia
Pokémon Ranger: Guardian Signs,Game,Pokémon,https://en.wikipedia.org/wiki/Pok%C3%A9mon_Ranger:_Guardian_Signs
Pokémon Conquest,Game,Pokémon,https://en.wikipedia.org/wiki/Pok%C3%A9mon_Conquest
Professor Layton and the Curious Village,Game,Professor Layton,https://en.wikipedia.org/wiki/Professor_Layton_and_the_Curious_Village
Professor Layton and the Diabolical Box,Game,Professor Layton,https://en.wikipedia.org/wiki/Professor_Layton_and_the_Diabolical_Box
Professor Layton and the Unwound Future,Game,Professor Layton,https://en.wikipedia.org/wiki/Professor_Layton_and_the_Unwound_Future
Professor Layton and the Last Specter,Game,Professor Layton,https://en.wikipedia.org/wiki/Professor_Layton_and_the_Last_Specter
Professor Layton and the Miracle Mask,Game,Professor Layton,https://en.wikipedia.org/wiki/Professor_Layton_and_the_Miracle_Mask
Professor Layton and the Azran Legacy,Game,Professor Layton,https://en.wikipedia.org/wiki/Professor_Layton_and_the_Azran_Legacy
Layton's Mystery Journey: Katrielle and the Millionaires' Conspiracy,Game,,https://en.wikipedia.org/wiki/Layton%27s_Mystery_Journey
Chrono Trigger,Game,,https://en.wikipedia.org/wiki/Chrono_Trigger
Super Mario Bros.,Game,Mario,https://en.wikipedia.org/wiki/Super_Mario_Bros.
Super Mario Bros. 3,Game,Mario,https://en.wikipedia.org/wiki/Super_Mario_Bros._3
Super Mario World,Game,Mario,https://en.wikipedia.org/wiki/Super_Mario_World
New Super Mario Bros.,Game,Mario,https://en.wikipedia.org/wiki/New_Super_Mario_Bros.
New Super Mario Bros. Wii,Game,Mario,https://en.wikipedia.org/wiki/New_Super_Mario_Bros._Wii
New Super Mario Bros. 2,Game,Mario,https://en.wikipedia.org/wiki/New_Super_Mario_Bros._2
New Super Mario Bros. U,Game,Mario,https://en.wikipedia.org/wiki/New_Super_Mario_Bros._U
Super Mario Bros. Wonder,Game,Mario,https://en.wikipedia.org/wiki/Super_Mario_Bros._Wonder
Paper Mario,Game,Mario,https://en.wikipedia.org/wiki/Paper_Mario_(video_game)
Paper Mario: The Thousand-Year Door,Game,Mario,https://en.wikipedia.org/wiki/Paper_Mario:_The_Thousand-Year_Door
Super Paper Mario,Game,Mario,https://en.wikipedia.org/wiki/Super_Paper_Mario
Paper Mario: Sticker Star,Game,Mario,https://en.wikipedia.org/wiki/Paper_Mario:_Sticker_Star
Mario & Luigi: Paper Jam,Game,Mario,https://en.wikipedia.org/wiki/Mario_%26_Luigi:_Paper_Jam
Paper Mario: Color Splash,Game,Mario,https://en.wikipedia.org/wiki/Paper_Mario:_Color_Splash
Paper Mario: The Origami King,Game,Mario,https://en.wikipedia.org/wiki/Paper_Mario:_The_Origami_King
Mario & Luigi: Superstar Saga,Game,Mario,https://en.wikipedia.org/wiki/Mario_%26_Luigi:_Superstar_Saga
Mario & Luigi: Partners in Time,Game,Mario,https://en.wikipedia.org/wiki/Mario_%26_Luigi:_Partners_in_Time
Mario & Luigi: Bowser's Inside Story,Game,Mario,https://en.wikipedia.org/wiki/Mario_%26_Luigi:_Bowser%27s_Inside_Story
Mario & Luigi: Dream Team,Game,Mario,https://en.wikipedia.org/wiki/Mario_%26_Luigi:_Dream_Team
Mario Party DS,Game,Mario,https://en.wikipedia.org/wiki/Mario_Party_DS
Mario Party Superstars,Game,Mario,https://en.wikipedia.org/wiki/Mario_Party_Superstars
Mario Kart DS,Game,Mario,https://en.wikipedia.org/wiki/Mario_Kart_DS
Mario Kart 8,Game,Mario,https://en.wikipedia.org/wiki/Mario_Kart_8
Super Mario RPG: Legend of the Seven Stars,Game,Mario,https://en.wikipedia.org/wiki/Super_Mario_RPG
Super Mario 64 DS,Game,Mario,https://en.wikipedia.org/wiki/Super_Mario_64_DS
Super Mario Sunshine,Game,Mario,https://en.wikipedia.org/wiki/Super_Mario_Sunshine
Super Mario Galaxy,Game,Mario,https://en.wikipedia.org/wiki/Super_Mario_Galaxy
Super Mario Galaxy 2,Game,Mario,https://en.wikipedia.org/wiki/Super_Mario_Galaxy_2
Super Mario 3D Land,Game,Mario,https://en.wikipedia.org/wiki/Super_Mario_3D_Land
Super Mario 3D World,Game,Mario,https://en.wikipedia.org/wiki/Super_Mario_3D_World
Luigi's Mansion,Game,Mario,https://en.wikipedia.org/wiki/Luigi%27s_Mansion
Luigi's Mansion: Dark Moon,Game,Mario,https://en.wikipedia.org/wiki/Luigi%27s_Mansion:_Dark_Moon
Luigi's Mansion 3,Game,Mario,https://en.wikipedia.org/wiki/Luigi%27s_Mansion_3
Super Mario World 2: Yoshi's Island,Game,Mario,https://en.wikipedia.org/wiki/Yoshi%27s_Island
Yoshi's Story,Game,Mario,https://en.wikipedia.org/wiki/Yoshi%27s_Story
Yoshi's Island DS,Game,Mario,https://en.wikipedia.org/wiki/Yoshi%27s_Island_DS
Yoshi's New Island,Game,Mario,https://en.wikipedia.org/wiki/Yoshi%27s_New_Island
Yoshi's Woolly World,Game,Mario,https://en.wikipedia.org/wiki/Yoshi%27s_Woolly_World
Yoshi's Crafted World,Game,Mario,https://en.wikipedia.org/wiki/Yoshi%27s_Crafted_World
Ghost Trick: Phantom Detective,Game,,https://en.wikipedia.org/wiki/Ghost_Trick:_Phantom_Detective
Call of Duty 4: Modern Warfare,Game,Call of Duty,https://en.wikipedia.org/wiki/Call_of_Duty_4:_Modern_Warfare
Call of Duty: World at War,Game,Call of Duty,https://en.wikipedia.org/wiki/Call_of_Duty:_World_at_War
Call of Duty: Modern Warfare 2,Game,Call of Duty,https://en.wikipedia.org/wiki/Call_of_Duty:_Modern_Warfare_2
Call of Duty: Black Ops,Game,Call of Duty,https://en.wikipedia.org/wiki/Call_of_Duty:_Black_Ops
Call of Duty: Modern Warfare 3,Game,Call of Duty,https://en.wikipedia.org/wiki/Call_of_Duty:_Modern_Warfare_3
Call of Duty: Black Ops II,Game,Call of Duty,https://en.wikipedia.org/wiki/Call_of_Duty:_Black_Ops_II
Call of Duty: Infinite Warfare,Game,Call of Duty,https://en.wikipedia.org/wiki/Call_of_Duty:_Infinite_Warfare
Call of Duty: Modern Warfare,Game,Call of Duty,https://en.wikipedia.org/wiki/Call_of_Duty:_Modern_Warfare_(2019_video_game)
Call of Duty: Modern Warfare II,Game,Call of Duty,https://en.wikipedia.org/wiki/Call_of_Duty:_Modern_Warfare_II_(2022_video_game)
Sonic Mania,Game,,https://en.wikipedia.org/wiki/Sonic_Mania
Rayman Legends,Game,,https://en.wikipedia.org/wiki/Rayman_Legends
LittleBigPlanet,Game,LittleBigPlanet,https://en.wikipedia.org/wiki/LittleBigPlanet
LittleBigPlanet 2,Game,LittleBigPlanet,https://en.wikipedia.org/wiki/LittleBigPlanet_2
LittleBigPlanet 3,Game,LittleBigPlanet,https://en.wikipedia.org/wiki/LittleBigPlanet_3
Cuphead,Game,,https://en.wikipedia.org/wiki/Cuphead
Overcooked,Game,Overcooked,https://en.wikipedia.org/wiki/Overcooked
Overcooked 2,Game,Overcooked,https://en.wikipedia.org/wiki/Overcooked_2
A Way Out,Game,,https://en.wikipedia.org/wiki/A_Way_Out_(video_game)
Among Us,Game,,https://en.wikipedia.org/wiki/Among_Us
Left 4 Dead 2,Game,,https://en.wikipedia.org/wiki/Left_4_Dead_2
Batman: Arkham Origins,Game,Batman,https://en.wikipedia.org/wiki/Batman:_Arkham_Origins
Batman: Arkham Asylum,Game,Batman,https://en.wikipedia.org/wiki/Batman:_Arkham_Asylum
Batman: Arkham City,Game,Batman,https://en.wikipedia.org/wiki/Batman:_Arkham_City
Batman: Arkham Knight,Game,Batman,https://en.wikipedia.org/wiki/Batman:_Arkham_Knight
Grand Theft Auto: Liberty City Stories,Game,Grand Theft Auto,https://en.wikipedia.org/wiki/Grand_Theft_Auto:_Liberty_City_Stories
Grand Theft Auto III,Game,Grand Theft Auto,https://en.wikipedia.org/wiki/Grand_Theft_Auto_III
Grand Theft Auto: Vice City Stories,Game,Grand Theft Auto,https://en.wikipedia.org/wiki/Grand_Theft_Auto:_Vice_City_Stories
Grand Theft Auto: Vice City,Game,Grand Theft Auto,https://en.wikipedia.org/wiki/Grand_Theft_Auto:_Vice_City
Grand Theft Auto: San Andreas,Game,Grand Theft Auto,https://en.wikipedia.org/wiki/Grand_Theft_Auto:_San_Andreas
Grand Theft Auto: Chinatown Wars,Game,Grand Theft Auto,https://en.wikipedia.org/wiki/Grand_Theft_Auto:_Chinatown_Wars
Grand Theft Auto IV,Game,Grand Theft Auto,https://en.wikipedia.org/wiki/Grand_Theft_Auto_IV
Grand Theft Auto V,Game,Grand Theft Auto,https://en.wikipedia.org/wiki/Grand_Theft_Auto_V
