title,media_type,collection,wikipedia_link
Looney Tunes Golden Collection,TV Series,,https://en.wikipedia.org/wiki/Looney_Tunes_Golden_Collection
The Jetsons,TV Series,Hanna-Barbera,https://en.wikipedia.org/wiki/The_Jetsons
Teenage Mutant Ninja Turtles,TV Series,,https://en.wikipedia.org/wiki/Teenage_Mutant_Ninja_Turtles
Me Too!,TV Series,,https://en.wikipedia.org/wiki/Me_Too!_(British_TV_series)
Jungle Run,TV Series,,https://en.wikipedia.org/wiki/Jungle_Run
Grizzly Tales for Gruesome Kids,TV Series,,https://en.wikipedia.org/wiki/Grizzly_Tales_for_Gruesome_Kids_(TV_series)
Horrid Henry,TV Series,Francesca Simon,https://en.wikipedia.org/wiki/Horrid_Henry_(TV_series)
Spider-Man,TV Series,Marvel,https://en.wikipedia.org/wiki/Spider-Man_(1994_TV_series)
Batman: The Animated Series,TV Series,Batman,https://en.wikipedia.org/wiki/Batman:_The_Animated_Series
The New Batman Adventures,TV Series,Batman,https://en.wikipedia.org/wiki/The_New_Batman_Adventures
Batman Beyond,TV Series,Batman,https://en.wikipedia.org/wiki/Batman_Beyond
Brum,TV Series,,https://en.wikipedia.org/wiki/Brum_(TV_series)
Total Drama Island,TV Series,,https://en.wikipedia.org/wiki/Total_Drama_Island
Johnny Bravo,TV Series,,https://en.wikipedia.org/wiki/Johnny_Bravo
Tinga Tinga Tales,TV Series,,https://en.wikipedia.org/wiki/Tinga_Tinga_Tales
Rugrats,TV Series,,https://en.wikipedia.org/wiki/Rugrats
DuckTales,TV Series,Disney,https://en.wikipedia.org/wiki/DuckTales
Kick Buttowski: Suburban Daredevil,TV Series,,https://en.wikipedia.org/wiki/Kick_Buttowski:_Suburban_Daredevil
The Loud House,TV Series,,https://en.wikipedia.org/wiki/The_Loud_House
Courage the Cowardly Dog,TV Series,,https://en.wikipedia.org/wiki/Courage_the_Cowardly_Dog
The Backyardigans,TV Series,,https://en.wikipedia.org/wiki/The_Backyardigans
Avatar: The Last Airbender,TV Series,Avatar: The Last Airbender,https://en.wikipedia.org/wiki/Avatar:_The_Last_Airbender
The Legend of Korra,TV Series,Avatar: The Last Airbender,https://en.wikipedia.org/wiki/The_Legend_of_Korra
Madeline,TV Series,,https://en.wikipedia.org/wiki/Madeline_(TV_series)
Crayon Shin-chan,TV Series,,https://en.wikipedia.org/wiki/Crayon_Shin-chan
